 	Label not available                                                                                                                                                                                                                                                                                         	Label not available                                                                                                                                                                                                                                                                                         	Label not available                                                                                                                                                                                                                                                                                         	Label not available                                                                                                                                                                                                                                                                                         	
Period	EenegyConsumed                          	EnergyGenerated                         	PMV                                     	CO2emissions                            	
    +113	 +0.2559877592684845E+004	 +0.1219999699418837E+003	 -0.4565231932898270E+000	 +0.2437877622742961E+004	
    +114	 +0.2546722841533870E+004	 +0.0000000000000000E+000	 -0.3238804471802425E+000	 +0.2546722841533870E+004	
    +115	 +0.2597688203915276E+004	 +0.0000000000000000E+000	 -0.2755698709196083E+000	 +0.2597688203915276E+004	
    +116	 +0.2525546371556923E+004	 +0.0000000000000000E+000	 -0.2421440310445982E+000	 +0.2525546371556923E+004	
    +117	 +0.2605873371247789E+004	 +0.0000000000000000E+000	 -0.2199003842500616E+000	 +0.2605873371247789E+004	
    +118	 +0.2633067265046933E+004	 +0.0000000000000000E+000	 -0.2122260082660981E+000	 +0.2633067265046933E+004	
    +119	 +0.2677104146259575E+004	 +0.0000000000000000E+000	 -0.1998545184098589E+000	 +0.2677104146259575E+004	
    +120	 +0.2798710504197536E+004	 +0.0000000000000000E+000	 -0.1984793443414997E+000	 +0.2798710504197536E+004	
    +121	 +0.2870360542213098E+004	 +0.0000000000000000E+000	 -0.1965896762042425E+000	 +0.2870360542213098E+004	
    +122	 +0.2984657343902304E+004	 +0.8266413819988135E+003	 -0.2062313313693842E+000	 +0.2158015961903491E+004	
    +123	 +0.3094099752336517E+004	 +0.7640683467253591E+003	 -0.2144193189036542E+000	 +0.2330031405611157E+004	
    +124	 +0.3184818061766754E+004	 +0.2783949793518069E+003	 -0.2251380079383920E+000	 +0.2906423082414948E+004	
    +125	 +0.3243903338898176E+004	 +0.0000000000000000E+000	 -0.2276065185870744E+000	 +0.3243903338898176E+004	
    +126	 +0.3329075943605235E+004	 +0.0000000000000000E+000	 -0.2353323277683236E+000	 +0.3329075943605235E+004	
    +127	 +0.3381532954637916E+004	 +0.0000000000000000E+000	 -0.2387714472278865E+000	 +0.3381532954637916E+004	
    +128	 +0.3428549275410795E+004	 +0.0000000000000000E+000	 -0.2460421974074639E+000	 +0.3428549275410795E+004	
